Data,Valor,21,62,125,252
2017-09-15,75974,84,85,85,81
2017-09-18,76004,84,84,84,82
2017-09-19,75604,78,81,84,82
2017-09-20,75390,79,84,82,82
2017-09-21,74443,72,78,80,82
2017-09-22,74319,67,78,82,81
2017-09-25,73797,52,72,77,79
2017-09-26,73567,48,72,76,78
2017-09-27,74294,42,70,75,78
2017-09-28,74360,44,69,75,77
2017-09-29,76763,51,71,76,77
2017-10-02,76591,54,72,77,79
2017-10-03,76618,60,76,78,80
2017-10-04,76055,60,75,77,80
2017-10-05,75727,58,75,78,79
2017-10-06,76897,57,72,78,80
2017-10-09,76660,55,72,77,78
2017-10-10,76990,64,73,78,79
2017-10-11,76892,59,74,77,79
2017-10-12,76201,57,73,79,80
2017-10-13,76591,56,70,77,79
2017-10-16,76283,50,69,76,78
2017-10-17,76391,45,67,75,78
2017-10-18,75413,48,67,74,78
2017-10-19,76350,49,66,73,76
2017-10-20,76671,48,67,75,76
2017-10-23,75896,39,63,74,76
2017-10-24,75976,49,65,74,75
2017-10-25,74800,44,62,74,76
2017-10-26,74308,38,59,72,75
2017-10-27,73824,39,61,73,77
2017-10-30,73915,26,51,69,73
2017-10-31,74311,25,50,68,73
2017-11-01,72415,26,41,67,72
2017-11-02,74363,29,44,69,74
2017-11-03,72931,26,41,67,72
2017-11-06,72166,25,41,67,71
2017-11-07,72475,22,34,59,66
2017-11-08,70827,23,38,66,69
2017-11-09,72512,21,35,63,69
2017-11-10,73437,22,31,60,64
2017-11-13,74595,28,36,57,67
2017-11-14,74519,27,32,54,61
2017-11-15,74487,26,30,55,62
2017-11-16,74157,30,34,57,64
2017-11-17,74059,38,39,59,67
2017-11-20,74140,39,38,59,69
2017-11-21,72700,43,41,61,68
2017-11-22,71971,41,40,60,68
2017-11-23,72264,41,36,61,68
2017-11-24,73090,42,36,62,68
2017-11-27,72546,42,35,60,68
2017-11-28,73268,51,37,60,67
2017-11-29,72487,40,29,55,64
2017-11-30,72732,30,23,48,62
2017-12-01,72800,30,23,48,62
2017-12-04,73814,35,27,52,63
2017-12-05,72914,36,26,48,62
2017-12-06,72429,42,28,51,64
2017-12-07,72608,36,28,51,62
2017-12-08,73115,40,32,50,62
2017-12-11,72680,39,30,48,61
2017-12-12,73367,46,32,49,65
2017-12-13,75133,42,31,50,62
2017-12-14,75187,40,28,47,62
2017-12-15,75688,47,33,48,63
2017-12-18,76073,53,36,52,65
2017-12-19,76402,49,38,51,62
2017-12-20,76402,51,40,53,64
2017-12-21,77891,58,42,57,67
2017-12-22,77995,63,46,57,67
2017-12-25,78647,66,47,57,68
2017-12-26,79071,70,45,58,68
2017-12-27,79379,79,50,59,67
2017-12-28,78864,79,54,61,69
2017-12-29,78201,81,56,64,71
2018-01-02,79365,80,62,65,70
2018-01-03,79349,85,66,65,69
2018-01-04,79752,80,66,65,68
2018-01-05,79832,79,68,66,69
2018-01-08,81189,77,67,66,70
2018-01-09,80963,75,66,65,70
2018-01-10,81220,70,63,63,69
2018-01-11,81675,66,64,63,69
2018-01-12,80678,71,66,62,69
2018-01-15,83680,70,69,64,71
2018-01-16,85531,66,69,64,71
2018-01-17,84698,68,72,67,70
2018-01-18,84482,62,67,63,69
2018-01-19,84913,60,68,64,71
2018-01-22,85495,60,65,65,69
2018-01-23,84041,46,63,61,66
2018-01-24,81861,62,68,66,70
2018-01-25,83894,62,68,67,70
2018-01-26,82767,62,68,66,69
2018-01-29,81533,59,67,66,69
2018-01-30,80899,59,68,68,69
2018-01-31,83543,61,66,67,71
2018-02-01,84291,62,69,67,70
2018-02-02,84525,57,67,65,70
2018-02-05,84793,45,65,60,68
2018-02-06,85804,49,67,60,70
2018-02-07,86052,46,66,60,67
2018-02-08,86686,42,65,59,67
2018-02-09,87293,39,59,58,66
2018-02-14,87653,48,65,61,69
2018-02-15,86935,48,65,62,68
2018-02-16,85481,49,62,62,67
2018-02-19,85378,48,64,60,67
2018-02-20,85761,52,65,61,67
2018-02-21,86023,50,62,62,68
2018-02-22,85653,56,64,63,67
2018-02-23,85484,58,64,64,66
