2017-09-28,45,69,75,77
2017-09-29,51,72,76,78
2017-10-02,55,73,78,80
2017-10-03,61,76,79,81
2017-10-04,61,76,78,81
2017-10-05,59,75,79,80
2017-10-06,57,73,79,80
2017-10-09,55,72,78,79
2017-10-10,64,74,79,80
2017-10-11,60,74,78,79
2017-10-12,57,73,79,81
2017-10-13,57,70,77,79
2017-10-16,51,70,77,79
2017-10-17,45,67,76,78
2017-10-18,49,68,75,78
2017-10-19,49,66,74,77
2017-10-20,48,67,76,77
2017-10-23,39,64,74,77
2017-10-24,49,65,74,76
2017-10-25,44,62,75,77
2017-10-26,39,59,73,76
2017-10-27,40,62,73,77
2017-10-30,26,51,69,73
2017-10-31,25,51,68,73
2017-11-01,26,42,67,73
2017-11-02,29,45,70,74
2017-11-03,27,41,68,73
2017-11-06,26,42,68,72
2017-11-07,23,35,59,67
2017-11-08,23,38,66,69
2017-11-09,22,36,64,69
2017-11-10,23,31,60,65
2017-11-13,28,36,57,68
2017-11-14,27,32,55,61
2017-11-15,27,31,55,62
2017-11-16,31,35,57,64
2017-11-17,39,39,59,68
2017-11-20,39,39,60,69
2017-11-21,43,42,61,68
2017-11-22,41,40,60,68
2017-11-23,41,37,62,69
2017-11-24,43,37,62,69
2017-11-27,43,35,60,68
2017-11-28,51,37,60,67
2017-11-29,40,29,55,65
2017-11-30,30,23,48,63
2017-12-01,31,24,49,62
2017-12-04,35,27,52,64
2017-12-05,37,27,49,62
2017-12-06,42,29,52,64
2017-12-07,37,29,52,63
2017-12-08,40,32,50,63
2017-12-11,40,30,49,62
2017-12-12,47,33,50,65
2017-12-13,42,32,50,62
2017-12-14,40,29,47,62
2017-12-15,47,34,49,64
2017-12-18,53,37,52,65
2017-12-19,49,39,52,63
2017-12-20,51,40,54,65
2017-12-21,59,43,58,67
2017-12-22,64,47,58,67
2017-12-25,66,48,58,69
2017-12-26,71,46,58,68
2017-12-27,80,50,60,67
2017-12-28,79,55,62,69
2017-12-29,81,56,64,71
2018-01-02,81,62,66,70
2018-01-03,85,67,66,69
2018-01-04,80,67,65,69
2018-01-05,79,68,67,69
2018-01-08,78,67,66,70
2018-01-09,76,66,65,71
2018-01-10,70,64,64,69
2018-01-11,66,65,63,69
2018-01-12,71,66,63,70
2018-01-15,70,70,64,71
2018-01-16,66,70,64,72
2018-01-17,68,73,67,70
2018-01-18,62,68,64,70
2018-01-19,61,69,64,71
2018-01-22,60,65,66,69
2018-01-23,47,63,62,67
2018-01-24,62,68,66,70
2018-01-25,63,69,67,71
2018-01-26,62,68,66,70
2018-01-29,59,68,66,69
2018-01-30,59,69,68,70
2018-01-31,61,67,68,72
2018-02-01,62,69,68,70
2018-02-02,57,68,66,70
2018-02-05,46,66,60,68
2018-02-06,50,67,61,70
2018-02-07,47,66,61,68
2018-02-08,43,66,59,68
2018-02-09,40,59,58,66
2018-02-14,49,65,62,69
2018-02-15,49,65,62,68
2018-02-16,49,62,63,68
2018-02-19,49,65,61,67
2018-02-20,52,65,61,68
2018-02-21,51,62,62,68
2018-02-22,56,64,64,67
2018-02-23,58,64,65,66
2018-02-26,57,64,65,67
2018-02-27,57,67,66,68
2018-02-28,51,62,63,69
2018-03-01,51,61,61,65
2018-03-02,50,61,63,65
2018-03-05,48,60,59,65
2018-03-06,45,55,58,65
2018-03-07,41,55,57,64
2018-03-08,42,54,57,65
2018-03-09,52,56,59,67
2018-03-12,51,59,62,66
2018-03-13,51,58,61,66
2018-03-14,41,54,59,65
2018-03-15,37,52,58,66
2018-03-16,43,54,59,65
2018-03-19,32,48,57,64
2018-03-20,30,46,55,63
2018-03-21,29,46,54,61
2018-03-22,38,47,57,62
2018-03-23,36,47,55,60
2018-03-26,34,46,55,61
2018-03-27,33,44,55,62
2018-03-28,33,42,52,60
2018-03-29,42,45,53,62
2018-04-02,35,41,51,58
2018-04-03,30,40,50,58
2018-04-04,33,39,49,58
2018-04-05,45,44,51,57
2018-04-06,42,41,51,60
2018-04-09,34,36,50,56
2018-04-10,39,39,50,57
2018-04-11,36,38,51,55
2018-04-12,41,38,49,57
2018-04-13,39,36,49,57
2018-04-16,34,32,46,56
2018-04-17,37,37,48,58
2018-04-18,43,40,49,58
2018-04-19,40,37,48,55
2018-04-20,40,36,47,53
2018-04-23,42,34,46,53
2018-04-24,41,34,48,53
2018-04-25,41,33,48,52
2018-04-26,45,35,51,55
2018-04-27,47,38,50,57
2018-04-30,45,38,47,55
2018-05-02,34,32,43,50
2018-05-03,27,28,40,51
2018-05-04,28,26,37,47
2018-05-07,25,24,36,46
2018-05-08,27,27,35,47
2018-05-09,35,29,40,48
2018-05-10,35,31,40,49
2018-05-11,36,32,35,47
2018-05-14,29,30,35,45
2018-05-15,23,24,32,39
2018-05-16,26,25,34,44
2018-05-17,23,22,30,36
2018-05-18,22,23,31,38
2018-05-21,24,25,30,38
2018-05-22,26,25,30,41
2018-05-23,21,24,28,34
2018-05-24,22,21,27,34
2018-05-25,18,19,25,33
2018-05-28,11,15,17,29
2018-05-29,12,12,16,29
2018-05-30,15,15,19,30
2018-06-01,22,18,21,31
2018-06-04,24,18,23,32
2018-06-05,21,17,19,31
2018-06-06,20,16,18,29
2018-06-07,14,15,15,28
2018-06-08,13,15,16,25
2018-06-11,15,15,16,26
2018-06-12,17,15,15,25
2018-06-13,22,16,16,26
2018-06-14,20,15,15,25
2018-06-15,22,16,15,24
2018-06-18,25,17,15,23
2018-06-19,28,15,15,24
2018-06-20,31,16,15,26
2018-06-21,30,17,15,22
2018-06-22,32,16,15,23
2018-06-25,31,18,15,24
2018-06-26,38,18,16,24
2018-06-27,35,17,15,24
2018-06-28,41,17,17,26
2018-06-29,46,21,18,26
2018-07-02,45,21,18,28
2018-07-03,55,22,18,26
2018-07-04,63,22,19,28
2018-07-05,61,22,18,27
2018-07-06,66,29,20,29
2018-07-10,68,32,22,29
2018-07-11,64,29,20,28
2018-07-12,67,35,21,31
2018-07-13,68,37,25,33
2018-07-16,70,37,25,31
2018-07-17,70,42,26,34
2018-07-18,65,40,25,34
2018-07-19,70,44,25,32
2018-07-20,72,54,26,35
2018-07-23,73,52,26,35
2018-07-24,76,56,27,36
